position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Kilbarchan AAC,34,M,"2,3,19",24,0,24,5,
2,Giffnock North AC,7,M,"1,10,21",32,0,32,4,
3,East Kilbride AC,1,M,"12,13,14",39,0,39,7,http://www.ekac.org.uk/
4,Springburn Harriers,48,M,"4,8,28",40,0,40,3,
5,Ayr Seaforth AC,14,M,"11,16,17",44,0,44,4,
6,North Ayrshire AAC,44,M,"5,18",23,42,65,2,
7,Cambuslang Harriers,6,M,"7,25",32,42,74,2,
8,Law & District AAC,37,M,"9,24",33,42,75,2,
9,Shettleston Harriers,10,M,6,6,84,90,1,
10,Larkhall YMCA,36,M,22,22,84,106,1,
11,Airdrie Harriers,11,M,23,23,84,107,1,
