position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website
1,0:04:32,7M,Christopher Cameron,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
2,0:04:37,2M,Callum Cooke,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
3,0:04:38,1M,,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
4,0:04:46,54M,Angus Matheson,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
5,0:04:49,7M,Ben McKerracher,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
6,0:04:52,4M,Louis Reid,M,U11,4,Inverclyde AC,https://www.inverclydeac.org/
7,0:04:56,34M,Angus Farley,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
8,0:04:57,7M,Andrew Church,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
9,0:04:58,7M,callum Wilson,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
10,0:04:59,34M,Blair Wright,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
11,0:05:08,34M,Ruaridh Toole,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
12,0:05:10,37M,,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
13,0:05:11,34M,Alisdair Murray,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
14,0:05:18,7M,Euan Boothman,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
15,0:05:19,10M,Louis Millican,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
16,0:05:21,7M,Nihal Lindsey,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
17,0:05:24,7M,Jacob Prentice,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
18,0:05:26,10M,Rio Biddlecombe,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
19,0:05:27,34M,Dylan Condie,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
20,0:05:28,7M,Ewan Moir,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
21,0:05:28,7M,Riley Ricard,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
22,0:05:31,54M,Matthew Dempsey,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
23,0:05:31,7M,Cameron Brown,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
24,0:05:33,9M,Keyan Patel,M,U11,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
25,0:05:34,7M,Tom McGuinnity,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
26,0:05:34,11M,Finlay Paterson,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/
27,0:05:35,32M,William Sharp,M,U11,32,Helensburgh AAC,https://www.helensburghaac.com/
28,0:05:37,1M,,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
29,0:05:39,10M,Henoch woldeselassie,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
30,0:05:41,10M,Naod Woldeselassie,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
31,0:05:42,11M,Antony McAninch,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/
32,0:05:44,34M,Aonghas MacKay,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
33,0:05:44,2M,Callum Curley,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
34,0:05:47,17M,Innes McMonegal,M,U11,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/
35,0:05:47,7M,George Gilbert,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
36,0:05:50,7M,Finlay Rae,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
37,0:05:52,2M,Neil Parker,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
38,0:05:52,32M,James Wightwick,M,U11,32,Helensburgh AAC,https://www.helensburghaac.com/
39,0:05:53,37M,,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
40,0:05:54,36M,Drew Reid,M,U11,36,Larkhall YMCA,https://www.larkhallymcaharriers.org
41,0:05:57,36M,George Brown,M,U11,36,Larkhall YMCA,https://www.larkhallymcaharriers.org
42,0:06:01,11M,Lyle Randall,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/
43,0:06:24,54M,James MacLeod,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com
44,0:06:36,32M,Alexander McDermid,M,U11,32,Helensburgh AAC,https://www.helensburghaac.com/
45,0:07:09,1M,,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
46,0:07:55,40M,,M,U11,40,Motherwell AC,https://motherwellac.com/
