position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:19:30,2M,Jamie Work,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,1
2,0:20:03,37M,,M,U17,37,Law & District AAC,http://www.lawaac.co.uk/,2
3,0:20:43,30M,Lewis McCrae,M,U17,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,3
4,0:21:03,14M,Fraser McIntyre,M,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,4
5,0:21:14,2M,Gregor Samson,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,5
6,0:21:25,14M,Sam McCrorie,M,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,6
7,0:21:42,2M,Lewis Anderson,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,7
8,0:22:03,14M,Leo Brockie,M,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,8
9,0:22:25,17M,Francis Santandeli,M,U17,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,9
10,0:22:32,8M,Alastair Munro,M,U17,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,10
11,0:22:37,10M,Joseph Reilly,M,U17,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,11
12,0:24:15,17M,Kai Wheeler,M,U17,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,12
