position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:24:54,4M,Ross Grey,M,SENIOR,4,Inverclyde AC,https://www.inverclydeac.org/,1
2,0:25:28,54M,Videsh Weerakkody,M,SENIOR,54,VP-Glasgow,https://www.vp-glasgow.com,3
3,0:25:37,54M,Henry Sutton,M,SENIOR,54,VP-Glasgow,https://www.vp-glasgow.com,4
4,0:26:02,10M,Sam Lesley,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,5
5,0:26:02,3M,1. Tony Connolly,M,SENIOR,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,6
6,0:26:38,10M,Andrew Taylor,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,7
7,0:26:58,8M,Greg Templeton,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,8
8,0:27:16,3M,2. Calum Borthwick,M,SENIOR,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,9
9,0:27:28,8M,Fraser Armstrong,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,10
10,0:27:48,8M,Adam Stark,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,12
11,0:28:04,37M,Allan Neil,M,SENIOR,37,Law & District AAC,http://www.lawaac.co.uk/,14
12,0:28:38,10M,Andrew Shields,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,16
13,0:28:51,6M,Kyle McLellan,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,18
14,0:29:20,8M,Greig Corr,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,22
15,0:29:40,8M,Matthew Brown,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,23
16,0:29:48,10M,Stewart Houston,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,24
17,0:30:12,6M,Tom Adams,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,26
18,0:30:17,4M,Sean Gaffney,M,SENIOR,4,Inverclyde AC,https://www.inverclydeac.org/,28
19,0:30:21,37M,Grant MacKenzie,M,SENIOR,37,Law & District AAC,http://www.lawaac.co.uk/,30
20,0:30:22,8M,Stuart Miller,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,31
21,0:30:39,3M,4. Jethro Browell,M,SENIOR,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,33
22,0:30:48,1M,GARY CRAIG,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,35
23,0:30:53,17M,Jordan Stewart,M,SENIOR,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,36
24,0:30:55,14M,Ben Forrest,M,SENIOR,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,37
25,0:30:57,3M,5. Alan Moss,M,SENIOR,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,39
26,0:31:40,27M,Gordon Buchanan,M,SENIOR,27,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/,46
27,0:32:11,3M,6. Mark Young,M,SENIOR,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,48
28,0:32:44,7M,Rory Matheson,M,SENIOR,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,56
29,0:32:48,3M,8. Alan Chalmers,M,SENIOR,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,59
30,0:32:49,8M,Alexander Winn,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,60
31,0:32:53,27M,Neil Montgomery,M,SENIOR,27,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/,61
32,0:33:11,2M,Nick Carter,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,63
33,0:33:15,6M,Lewis Anderson,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,64
34,0:34:12,10M,William Bradley,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,71
35,0:34:34,2M,Murray McDonald,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,74
36,0:34:46,57M,James Cathie,M,SENIOR,57,Whitemoss AAC,https://whitemossaac.co.uk/,77
37,0:35:04,37M,Finn Milliagn,M,SENIOR,37,Law & District AAC,http://www.lawaac.co.uk/,81
38,0:35:14,6M,Kevin Farmer,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,83
39,0:35:35,2M,Mark Henderson,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,85
40,0:35:41,1M,GERARD CROSER,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,88
41,0:36:45,10M,Steven Clark,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,102
42,0:38:15,2M,Gary  Martin,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,122
43,0:39:25,8M,Derek Elliot-Jones,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,131
44,0:43:28,27A,Alex Blanchard,A,SENIOR,27,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/,149
