position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:28:19,1M,DAVID ROSS,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,14
2,0:28:43,14M,Kenny Neill,M,MASTER,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,17
3,0:28:44,10M,Paul Sorrie,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,18
4,0:29:26,1M,ANDREW FORTEITH,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,24
5,0:30:31,9M,Daniel Scroop,M,MASTER,9,Garscube Harriers,https://www.garscubeharriers.org.uk/,30
6,0:30:37,2M,John Speirs,M,MASTER,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,33
7,0:30:45,3M,Bruce Carse,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,34
8,0:31:06,6M,Mick O’Hagan,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,37
9,0:31:09,6M,Brian Douglas,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,38
10,0:31:22,17M,David Watt,M,MASTER,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,39
11,0:31:34,6M,Kevin Newberry,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,40
12,0:31:53,53M,Matt Pearce,M,MASTER,53,Troon Tortoises,http://troontortoises.co.uk,46
13,0:32:11,10M,John Duffy,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,49
14,0:32:29,6M,Colin Feechan,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,55
15,0:32:38,17M,Gerry Connelly,M,MASTER,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,56
16,0:32:56,14M,Peter MacLean,M,MASTER,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,60
17,0:33:31,3M,Gerry Scullion,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,62
18,0:34:09,1M,ANDREW CHAPMAN,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,66
19,0:34:33,53M,John McCabe,M,MASTER,53,Troon Tortoises,http://troontortoises.co.uk,68
20,0:34:41,3M,Dave Ferguson,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,69
21,0:34:54,1M,KEITH CHARTERS,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,71
22,0:35:00,10M,John Oates,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,72
23,0:35:04,4M,Robert Gray,M,MASTER,4,Inverclyde AC,https://www.inverclydeac.org/,73
24,0:35:08,3M,Alan Digweed,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,74
25,0:35:18,9M,Ken MacMahon,M,MASTER,9,Garscube Harriers,https://www.garscubeharriers.org.uk/,76
26,0:35:30,30M,Danny McLaughlin,M,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,78
27,0:36:12,37M,Martin Kay,M,MASTER,37,Law & District AAC,http://www.lawaac.co.uk/,83
28,0:36:24,48M,Paul Wilson,M,MASTER,48,Springburn Harriers,https://www.springburnharriers.co.uk/,86
29,0:36:26,56M,Allen Cambell,M,MASTER,56,West End RR,https://www.westendroadrunners.co.uk/,87
30,0:36:31,3M,Tom Ferris,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,88
31,0:36:51,57M,David Cathie,M,MASTER,57,Whitemoss AAC,https://whitemossaac.co.uk/,92
32,0:36:58,2M,Alasdair Murray,M,MASTER,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,95
33,0:37:02,14M,Stuart Brockie,M,MASTER,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,97
34,0:37:19,56M,Alham Said,M,MASTER,56,West End RR,https://www.westendroadrunners.co.uk/,100
35,0:37:26,1M,GORDON COLVIN,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,101
36,0:38:12,1M,VINCENT GLENNON,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,111
37,0:38:28,37M,Mark Milligan,M,MASTER,37,Law & District AAC,http://www.lawaac.co.uk/,114
38,0:39:18,6M,Frank Hurley,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,122
39,0:39:22,6M,Iain Crawford,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,123
40,0:39:28,37M,John O'Leary,M,MASTER,37,Law & District AAC,http://www.lawaac.co.uk/,124
41,0:39:44,6M,Chris Paton,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,128
42,0:39:52,30M,Scot Hill,M,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,129
43,0:39:59,14M,Tim Downie,M,MASTER,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,131
