position,Club name,team,gender,finisherPositions,teamPoints,penaltyPoints,totalPoints,totalFinishers,Website
1,Inverclyde AC,4,M,"3,4,5,19",31,0,31,4,https://www.inverclydeac.org/
2,Cambuslang Harriers,6,M,"2,8,11,13",34,0,34,6,https://cambuslangharriers.org/
3,Giffnock North AC,7,M,"1,9,12,16",38,0,38,6,https://www.giffnocknorth.co.uk/
4,Shettleston Harriers,10,M,"6,14,15,18",53,0,53,5,http://shettlestonharriers.org.uk/
5,Bellahouston RR,3,M,"7,17,27,34",85,0,85,6,https://www.bellahoustonroadrunners.co.uk/
6,East Kilbride AC,1,M,"23,24,28,37",112,0,112,4,http://www.ekac.org.uk/
7,Law & District AAC,37,M,"25,29,41,47",142,0,142,4,http://www.lawaac.co.uk/
8,Greenock Glenpark Harriers,30,M,"21,22,48",91,59,150,3,https://greenockglenparkharriers.com/
9,Motherwell AC,40,M,10,10,177,187,1,https://motherwellac.com/
10,Springburn Harriers,48,M,"38,45,46",129,59,188,3,https://www.springburnharriers.co.uk/
11,Kilmarnock H&AC,2,M,"33,44",77,118,195,2,http://www.kilmarnockharriers.com/
12,Calderglen Harriers,17,M,"36,42",78,118,196,2,http://www.calderglenharriers.org.uk/
13,Troon Tortoises,53,M,30,30,177,207,1,http://troontortoises.co.uk
14,Garscube Harriers,9,M,31,31,177,208,1,https://www.garscubeharriers.org.uk/
15,Whitemoss AAC,57,M,43,43,177,220,1,https://whitemossaac.co.uk/
