position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:29:48,7F,,F,,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,22
2,0:31:35,32F,Claire Heasman,F,MASTER,32,Helensburgh AAC,https://www.helensburghaac.com/,36
3,0:32:30,48F,,F,,48,Springburn Harriers,https://www.springburnharriers.co.uk/,40
4,0:32:44,14F,Anna Blake,F,SENIOR,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,43
5,0:32:53,4F,,F,,4,Inverclyde AC,https://www.inverclydeac.org/,46
6,0:33:10,6F,Catriona Bain,F,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,51
7,0:33:13,8F,Kristina Greig,F,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,52
8,0:33:20,10F,Gemma Griffiths,F,U20,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,54
9,0:33:33,6F,Natalie Brohan,F,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,55
10,0:33:44,6F,Kirsty Anderson,F,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,62
11,0:33:50,1F,KELLY BAILLIE,F,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,63
12,0:33:55,48F,,F,,48,Springburn Harriers,https://www.springburnharriers.co.uk/,64
13,0:34:11,1F,MILLIE AITKEN,F,U20,1,East Kilbride AC,http://www.ekac.org.uk/,66
14,0:34:23,37F,Elaine Boyle,F,MASTER,37,Law & District AAC,http://www.lawaac.co.uk/,69
15,0:34:49,56F,,F,,56,West End RR,https://www.westendroadrunners.co.uk/,73
16,0:36:19,8F,Katherine Hylands,F,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,86
17,0:36:32,6F,Marie Kane,F,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,89
18,0:36:38,53F,,F,,53,Troon Tortoises,http://troontortoises.co.uk,90
19,0:36:40,37F,Lesley Graham,F,MASTER,37,Law & District AAC,http://www.lawaac.co.uk/,91
20,0:36:51,36F,,F,,36,Larkhall YMCA,https://www.larkhallymcaharriers.org,95
21,0:36:59,57F,,F,,57,Whitemoss AAC,https://whitemossaac.co.uk/,97
22,0:37:30,46F,,F,,46,Royal Mail Run GMC,https://www.facebook.com/royalmailrungmc/,103
23,0:37:38,2F,Amanda Bryden,F,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,105
24,0:37:42,8F,Marianne Wilson,F,MASTER,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,106
25,0:37:59,37F,Christine Neill,F,SENIOR,37,Law & District AAC,http://www.lawaac.co.uk/,110
26,0:38:07,11F,,F,,11,Airdrie Harriers,http://airdrieharriers.org/,112
27,0:38:10,42F,Joanne Thorburn,F,MASTER,42,Newton Road Runners,https://www.newton-roadrunners.com/,113
28,0:38:40,2F,Izzy Caufield,F,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,116
29,0:38:58,6F,Erica Christie,F,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,119
30,0:39:17,30F,Lynne Harrison,F,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,122
31,0:39:37,3F,Anne Campbell,F,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,124
32,0:39:46,3F,Pauline Wright,F,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,127
33,0:39:50,8F,Carys Mitchell,F,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,128
34,0:39:57,4F,,F,,4,Inverclyde AC,https://www.inverclydeac.org/,129
35,0:40:12,30F,Marianne McKay,F,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,130
36,0:40:42,4F,,F,,4,Inverclyde AC,https://www.inverclydeac.org/,132
37,0:40:50,7F,,F,,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,133
38,0:41:28,2F,Kirsty McNulty,F,MASTER,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,139
39,0:41:34,8F,Stephanie Rudd,F,MASTER,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,140
40,0:41:42,53F,,F,,53,Troon Tortoises,http://troontortoises.co.uk,141
41,0:41:53,14F,Vikki Stewart,F,MASTER,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,142
42,0:43:01,4F,,F,,4,Inverclyde AC,https://www.inverclydeac.org/,144
43,0:44:14,14F,Lucy Cameron,F,SENIOR,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,147
44,0:44:46,30F,Sarah Jane Whalen,F,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,149
45,0:45:00,8F,Kathryn Burningham,F,MASTER,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,150
46,0:48:22,3F,Terry Nimmo,F,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,151
47,0:53:36,30F,Charlotte McKay,F,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,152
48,0:57:47,30F,Doris Heron,F,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,153
