position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:04:50,2M,Callum Cooke,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,1
2,0:05:03,7M,,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,2
3,0:05:12,1M,JACK McMILLAN,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/,3
4,0:05:14,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,4
5,0:05:16,4M,Louis Reid,M,U11,4,Inverclyde AC,https://www.inverclydeac.org/,5
6,0:05:19,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,6
7,0:05:20,54M,Reuben Tinkler,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,7
8,0:05:21,2M,Harris Evans,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,8
9,0:05:27,2M,Murray Young,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,9
10,0:05:27,7M,,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,10
11,0:05:27,6M,Niall Smith,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/,11
12,0:05:27,44M,Murray Graham,M,U11,44,North Ayrshire AAC,https://naathletics.co.uk/,12
13,0:05:27,54M,Angus Matheson,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,13
14,0:05:30,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,14
15,0:05:30,7M,,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,15
16,0:05:30,7M,,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,16
17,0:05:30,54M,Murray Freer,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,17
18,0:05:31,48M,Thomas Fraser-Moodie,M,U11,48,Springburn Harriers,https://www.springburnharriers.co.uk/,18
19,0:05:33,54M,Ruairdh Gall,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,19
20,0:05:35,1M,NOAH ANDERSON,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/,20
21,0:05:44,6M,Douglas Gaillie,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/,21
22,0:05:46,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,22
23,0:05:47,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,23
24,0:05:48,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,24
25,0:05:50,7M,,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,25
26,0:05:50,57M,Cameron McKenzie,M,U11,57,Whitemoss AAC,https://whitemossaac.co.uk/,26
27,0:05:53,17M,,M,U11,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,27
28,0:05:55,7M,,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,28
29,0:05:56,54M,Charlie Mackenzie,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,29
30,0:05:57,54M,Adam Ali,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,30
31,0:05:58,2M,Callum Curley,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,31
32,0:06:00,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,32
33,0:06:02,7M,,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,33
34,0:06:02,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,34
35,0:06:03,2M,Keir Jamieson,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,35
36,0:06:03,36M,George Brown,M,U11,36,Larkhall YMCA,https://www.larkhallymcaharriers.org,36
37,0:06:03,1M,MAX TOBIN,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/,37
38,0:06:03,2M,Neil Parker,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,38
39,0:06:03,10M,Louis Millican,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,39
40,0:06:05,17M,,M,U11,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,40
41,0:06:05,54M,Matthew Dempsey,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,41
42,0:06:10,36M,Drew Reid,M,U11,36,Larkhall YMCA,https://www.larkhallymcaharriers.org,42
43,0:06:10,1M,CALUM McCORMICK,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/,43
44,0:06:10,10M,Naod Woldeselassie,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,44
45,0:06:13,2M,Aeson Allardyce,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,45
46,0:06:14,10M,Rio Biddlecombe,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,46
47,0:06:17,14M,Lewis Watson,M,U11,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,47
48,0:06:18,2M,Euan Alexander,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,48
49,0:06:18,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,49
50,0:06:22,37M,James Bennet,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/,50
51,0:06:31,57M,Andrew McAdam,M,U11,57,Whitemoss AAC,https://whitemossaac.co.uk/,51
52,0:06:33,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,52
53,0:06:38,2M,Lauchland Nicol,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,53
54,0:06:39,57M,Logan McKenzie,M,U11,57,Whitemoss AAC,https://whitemossaac.co.uk/,54
55,0:06:41,57M,Jamie McGrath,M,U11,57,Whitemoss AAC,https://whitemossaac.co.uk/,55
56,0:06:43,34M,,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,56
57,0:06:44,54M,Julian Morton,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,57
58,0:06:45,2M,Brandon McLemon,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,58
